heap,n,full,last
binomial,4096,2681008,405
binomial,4096,2912699,785
binomial,4096,2501088,415
binomial,4096,2618014,403
binomial,4096,2894407,524
binomial,4096,2562133,433
binomial,4096,2520730,420
binomial,4096,2615522,444
binomial,4096,2494865,394
binomial,4096,2790811,452
binomial,4096,2565590,485
binomial,8192,5112648,482
binomial,8192,5409486,415
binomial,8192,5209529,400
binomial,8192,5237727,413
binomial,8192,5301112,541
binomial,8192,5248225,414
binomial,8192,5361962,428
binomial,8192,5400913,612
binomial,8192,5137104,427
binomial,8192,5360780,401
binomial,8192,5162630,445
binomial,8192,5118851,540
binomial,8192,5582874,422
binomial,8192,5293942,389
binomial,8192,5146104,424
binomial,8192,5167311,415
binomial,8192,5118376,389
binomial,8192,4994407,417
binomial,8192,5338793,420
binomial,8192,7292581,690
binomial,16384,13655592,515
binomial,16384,14125484,711
binomial,16384,15971368,598
binomial,16384,10545024,427
binomial,16384,10167895,432
binomial,16384,10469091,486
binomial,16384,10225557,359
binomial,16384,10259204,377
binomial,16384,10003237,394
binomial,16384,10053530,398
binomial,16384,10363192,378
binomial,16384,10075006,386
binomial,16384,9974286,349
binomial,16384,10240367,383
binomial,16384,10291521,414
binomial,16384,10002877,411
binomial,16384,9945268,376
binomial,16384,10083700,368
binomial,16384,9943383,372
binomial,16384,10168144,403
binomial,32768,20529587,432
binomial,32768,20653428,383
binomial,32768,22145412,417
binomial,32768,21610874,448
binomial,32768,22642069,634
binomial,32768,23543907,585
binomial,32768,23466422,429
binomial,32768,27581148,669
binomial,32768,26566169,427
binomial,32768,23563417,441
binomial,32768,22372585,437
binomial,32768,22372912,512
binomial,32768,26707948,404
binomial,32768,21619084,418
binomial,32768,20680464,420
binomial,32768,21590214,513
binomial,32768,21068263,443
binomial,32768,21943244,406
binomial,32768,21345285,415
binomial,32768,25280326,648
binomial,65536,43595756,465
binomial,65536,42852099,637
binomial,65536,43205913,434
binomial,65536,42639214,428
binomial,65536,42264481,430
binomial,65536,41332067,463
binomial,65536,52679341,423
binomial,65536,48473637,928
binomial,65536,46823813,481
binomial,65536,45032585,434
binomial,65536,41533874,384
binomial,65536,45087855,380
binomial,65536,41314855,408
binomial,65536,40566083,418
binomial,65536,40527818,384
binomial,65536,40706067,381
binomial,65536,40790873,415
binomial,65536,40695958,410
binomial,65536,40525839,408
binomial,65536,40497432,403
binomial,131072,82061093,480
binomial,131072,82386318,417
binomial,131072,82374067,425
binomial,131072,82005754,397
binomial,131072,82185282,402
