heap,n,full,last
binomial,256,151454,372
binomial,256,149483,373
binomial,256,152503,367
binomial,256,154572,397
binomial,256,151049,350
binomial,256,153811,377
binomial,256,152322,374
binomial,256,150568,412
binomial,256,156320,387
binomial,256,154428,341
binomial,256,154348,387
binomial,256,149783,370
binomial,256,151046,365
binomial,256,152897,364
binomial,512,317745,392
binomial,512,305597,375
binomial,512,308783,368
binomial,512,308201,351
binomial,512,308263,395
binomial,512,308919,398
binomial,512,321521,362
binomial,512,304409,358
binomial,512,306571,369
binomial,512,305972,361
binomial,512,307108,377
binomial,512,305632,361
binomial,512,308837,369
binomial,512,309308,374
binomial,512,324065,369
binomial,512,307009,372
binomial,512,308607,368
binomial,512,305059,386
binomial,512,310069,353
binomial,512,305043,366
binomial,512,315416,383
binomial,512,306815,365
binomial,512,311699,365
binomial,512,304828,366
binomial,512,313890,382
binomial,512,307722,356
binomial,512,304705,369
binomial,512,307376,352
binomial,512,307156,367
binomial,512,303618,355
binomial,1024,632917,387
binomial,1024,617184,369
binomial,1024,618394,359
binomial,1024,612146,375
binomial,1024,615351,398
binomial,1024,619779,377
binomial,1024,608222,365
binomial,1024,616713,369
binomial,1024,610436,340
binomial,1024,619244,390
binomial,1024,612898,371
binomial,1024,614679,371
binomial,1024,614025,397
binomial,1024,620867,359
binomial,1024,619981,389
binomial,1024,621418,367
binomial,1024,615713,387
binomial,1024,617256,356
binomial,1024,619296,361
binomial,1024,726211,463
binomial,1024,663255,401
binomial,1024,619141,393
binomial,1024,611095,376
binomial,1024,617574,368
binomial,1024,626806,381
binomial,1024,619630,375
binomial,1024,618000,388
binomial,1024,619319,354
binomial,1024,612706,370
binomial,1024,650370,383
binomial,2048,1273965,402
binomial,2048,1250404,364
binomial,2048,1247380,375
binomial,2048,1254383,359
binomial,2048,1237195,386
binomial,2048,1266549,354
binomial,2048,1238521,375
binomial,2048,1437046,531
binomial,2048,1542062,497
binomial,2048,1563377,582
binomial,2048,1682552,606
binomial,2048,1719411,534
binomial,2048,1721059,480
binomial,2048,1663935,553
binomial,2048,1743971,577
binomial,2048,1731788,574
binomial,2048,1714539,592
binomial,2048,1655661,495
binomial,2048,1669510,529
binomial,2048,1699412,570
binomial,2048,1744017,523
binomial,2048,1726314,529
binomial,2048,1713232,560
binomial,2048,1318091,407
binomial,2048,1242215,389
binomial,2048,1258383,418
binomial,2048,1533468,402
binomial,2048,1492464,589
binomial,2048,1597486,558
binomial,2048,1555495,572
binomial,4096,3157508,588
binomial,4096,3110777,416
binomial,4096,2728894,432
binomial,4096,2610070,390
binomial,4096,2644867,403
binomial,4096,2620208,369
binomial,4096,2710841,612
binomial,4096,2534454,462
binomial,4096,2474343,401
binomial,4096,2470216,398
binomial,4096,2480227,401
binomial,4096,2476994,362
binomial,4096,2476503,397
binomial,4096,2539274,381
binomial,4096,2472763,365
binomial,4096,2460769,355
binomial,4096,2471062,359
binomial,4096,2460141,362
binomial,4096,2471898,393
binomial,4096,2470495,375
binomial,4096,2467362,366
binomial,4096,2468504,358
binomial,4096,2471905,363
binomial,4096,2480308,398
binomial,4096,2512757,372
binomial,4096,2461497,367
binomial,4096,2458662,356
binomial,4096,2461377,359
binomial,4096,2450185,395
binomial,4096,2466320,369
binomial,8192,5046749,410
binomial,8192,4936430,391
binomial,8192,4962548,417
binomial,8192,4932803,377
binomial,8192,4934136,358
binomial,8192,4931811,359
binomial,8192,4943109,382
binomial,8192,4936963,386
binomial,8192,4933104,375
binomial,8192,4916819,364
binomial,8192,4916381,365
binomial,8192,5222825,460
binomial,8192,4958957,354
